2001	F
2002	F
2003	F
2004	F
2005	T
2006	F
2007	F
2008	F
2009	F
2010	F
2011	T
2012	F
2013	F
2014	F
2015	T
2016	T
2017	F
2018	F
2019	F
2020	T
2021	F
2022	T
2023	T
2024	F
2025	F
2026	T
2027	F
2028	F
2029	F
2030	F
2031	F
2032	F
2033	F
2034	F
2035	T
2036	F
2037	T
2038	F
2039	F
2040	F
2041	F
2042	F
2043	F
2044	F
2045	F
2046	T
2047	F
2048	F
2049	F
2050	F
2051	F
2052	F
2053	F
2054	F
2055	F
2056	F
2057	T
2058	T
2059	F
2060	T
2061	F
2062	F
2063	F
2064	F
2065	F
2066	F
2067	T
2068	F
2069	T
2070	F
2071	F
2072	F
2073	F
2074	T
2075	F
2076	F
2077	F
2078	F
2079	F
2080	F
2081	F
2082	T
2083	F
2084	T
2085	T
2086	F
2087	F
2088	F
2089	F
2090	F
2091	F
2092	F
2093	F
2094	F
2095	T
2096	T
2097	T
2098	T
2099	F
2100	F
2101	T
2102	F
2103	T
2104	F
2105	F
2106	F
2107	F
2108	F
2109	F
2110	F
2111	F
2112	F
2113	T
2114	T
2115	T
2116	F
2117	T
2118	F
2119	T
2120	F
2121	F
2122	F
2123	F
2124	T
2125	T
2126	F
2127	F
2128	F
2129	F
2130	F
2131	F
2132	F
2133	T
2134	F
2135	F
2136	T
2137	F
2138	T
2139	F
2140	T
2141	F
2142	F
2143	F
2144	F
2145	T
2146	F
2147	T
2148	F
2149	T
2150	F
2151	F
2152	F
2153	F
2154	F
2155	F
2156	F
2157	F
2158	T
2159	F
2160	F
2161	F
2162	F
2163	F
2164	F
2165	T
2166	F
2167	T
2168	T
2169	T
2170	F
2171	F
2172	F
2173	F
2174	F
2175	F
2176	F
2177	T
2178	T
2179	F
2180	T
2181	F
2182	F
2183	F
2184	F
2185	F
2186	F
2187	F
2188	F
2189	T
2190	F
2191	F
2192	F
2193	F
2194	F
2195	F
2196	F
2197	T
2198	F
2199	T
2200	F
2201	F
2202	F
2203	F
2204	T
2205	F
2206	T
2207	T
2208	F
2209	F
2210	F
2211	F
2212	F
2213	F
2214	F
2215	T
2216	F
2217	F
2218	T
2219	F
2220	F
2221	F
2222	T
2223	F
2224	F
2225	F
2226	F
2227	F
2228	F
2229	F
2230	F
2231	F
2232	F
2233	F
2234	F
2235	F
2236	F
2237	F
2238	T
2239	F
2240	F
2241	F
2242	F
2243	F
2244	F
2245	F
2246	F
2247	F
2248	F
2249	T
2250	F
2251	F
2252	T
2253	F
2254	F
2255	F
2256	F
2257	F
2258	F
2259	T
2260	F
2261	F
2262	F
2263	F
2264	F
2265	T
2266	T
2267	F
2268	F
2269	F
2270	T
2271	F
2272	F
2273	F
2274	T
2275	F
2276	F
2277	T
2278	F
2279	F
2280	F
2281	T
2282	F
2283	F
2284	F
2285	F
2286	F
2287	T
2288	F
2289	F
2290	F
2291	F
2292	F
2293	F
2294	F
2295	F
2296	T
2297	F
2298	F
2299	F
2300	T
2301	F
2302	F
2303	F
2304	F
2305	T
2306	T
2307	F
2308	T
2309	F
2310	F
2311	F
2312	F
2313	T
2314	F
2315	F
2316	F
2317	T
2318	F
2319	F
2320	T
2321	F
2322	F
2323	F
2324	F
2325	F
2326	F
2327	F
2328	T
2329	F
2330	F
2331	F
2332	T
2333	T
2334	F
2335	F
2336	F
2337	F
2338	T
2339	F
2340	F
2341	T
2342	F
2343	F
2344	F
2345	F
2346	F
2347	F
2348	T
2349	T
2350	F
2351	F
2352	F
2353	T
2354	F
2355	F
2356	F
2357	F
2358	F
2359	F
2360	F
2361	F
2362	F
2363	F
2364	F
2365	F
2366	F
2367	T
2368	F
2369	F
2370	T
2371	F
2372	F
2373	F
2374	F
2375	F
2376	T
2377	T
2378	F
2379	T
2380	F
2381	F
2382	F
2383	F
2384	F
