ako eztv and kickass
ms. arpee!!!! has edsheeran landed on philippine soil yet? 😆 im pretty excited!! very!
michael was eliminated????!!! 😢
thanks for your music paul! and for appreciating us fans. 😆👍💖
im a fan of future grammy award winning artist abd im goin to vote for him very very soon on lives
awwww mommy! so.sweet
rt they saved the best for last! such a great performance by meghan &amp; paul. who should pharrell choose? #voicebattles
rt everyone needs to know that our bandleader is the unsung hero of . he does so much that isn't realiz…
congrats on winning that battle! #thevoice #voicebattles no doubt! 😆👍
"and thats why he says ""i feel good!!!"" 💃💃💃"
rt yes. he. is.
uuhhh moi 😉
rt it's going down tonight on #thevoice! #voicebattles #megapfau #megapfau nee…
bad ass!!! cant wait!
#teampharrell is soo strong and my faves in his team are whoa! go 😆😉
as sane as it gets.
exactly... peeps with glasses unite! 👓👓👓
im awake. god speed matty.
nawiwindang na ako sa mga tweets mo hahaha. mamaya ko pa mapapanood. :) hahaha
come and join maroon 5 in manila .... we hope to see you here too. calling 😆 we want voice season 7 runner up pls.
rt you should totally be opening act when he comes to the philippines this sept so we can finally see…
thats totally rad..esp now that.i have tickets 😆
ditto
rt hey i love you guys. that is all😘 #mcfandrews
😆😉
i want a tweet :) hello you
it's soo cold 😆
hello subic. how's traffic in subic
😆 hahaha. cracks me up big time
sold out na po ba #maroon5mnl ?
tickets secured sistah! hehe
rt yay thank you hindi biro ang pagtakbo kong ginawa sa sm. haha. #struggleisreal #maroonv
ok...i can work now coz we got our tickets already for #maroon5mnl
rt true! that's why mas okay talaga pag sa mismong outlet to avoid such technical issues. :)
i know. di na ako umasa sa online. napahamak kami sa ed sheeran tix eh..so my sis went to sm as early as 830am
haha! good point
tix are selling like hot pancakes
liz!!! omg! im so excited
got our tickets now! thanks sm masinag at mabilis kayo.
how about pwd?.:)
omg..i cant start with work...i need to know if nakabuy na ng tix for #maroon5mnl
ok... dead na ang online. ibang klase ka
key here is how good and fast yung ticket seller sa sm outlet
hala.. nagloloko na naman ang online. buti na lang nakapila na kmi sa sm outlet. woohooo
game na kami sa maroon5 tix. #maroon5mnl
its 10am... game na!!! #maroonvtour by
rt tickets go on sale today!!! #maroon5mnl - #cesarmillanmnl -
in 6 days im goin to see that beautiful ginger hair! #edsheeraninmanila #britishinvasioninmnl2015
rt today's ticket selling: maroon 5- cesar millan- 🎶🐶
today's d day! :) tix for sale at
hello ✌
thanks toshy! ☺
what time pls?
congrats nick! remaining and last man standing on #teamdimples love love love from the philippines! mmwahh
😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢 unmeasured tears
aawww oh adam
jesus mary jospeh!!! we need to strategize
may he rest in peace :(
well..blake is starting to get that 4-chair turn king from adam.
julianne and derek hough perform: come to manila!!!!
adam's audition of cors
rt #americanidol screening party for -
our very own will be stopping by during this hour of the #tomisback ohemgee
rt awww! pecked cheeks on #axnthevoice! #bromance indeed! we love you guys!
two of my faves! 😃
watching the voice uk blind auditions and i realized that the coaches are letting go so many great talents. 😢😦
"so excited about #britishinvasioninmnl2015, pati voice uk pinapanood ko na din. haha!"
rt ed sheeran live in manila! march 12 at the moa arena! see you there!!
cute
listening now #edsheeran #bloodstream
